name;cover;description;god;system;system_dop;system_dop2;system_dop3;obl;montage;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;img16;img17;img18;img19;img20;ronson_system;ronson_montage;ronson_vitrage;ronson_granit;ronson_klinker;ronson_decor;ronson_brick;montagepartner;inside;Keyword;ncTitle;ncKeywords;ncDescription;ncSMO_Title;ncSMO_Description;ncSMO_Image
ЖК «HOLLAND», г. Нур;0.jpg:image/jpeg:8473;г. Нур-Султан, ул. Шамши Калдаякова;2019.0;Ронсон-100;Ронсон-200;Ронсон-400;;фиброцементные плиты, стальной листовой композит;;1.jpg:image/jpeg:129130;2.jpg:image/jpeg:85594;3.jpg:image/jpeg:112015;4.jpg:image/jpeg:119785;5.jpg:image/jpeg:145762;6.jpg:image/jpeg:117258;7.jpg:image/jpeg:144548;;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
ЖК «Ты и Я»;0.jpg:image/jpeg:9089;г. Москва, ул. Шушинская, д. 8;2020.0;Ронсон-100;Ронсон-200;Ронсон-400;;Rockpanel, стальной листовой композит, керамогранит (скрытое крепление), декоративный камень White Hills;;1.jpg:image/jpeg:429702;2.jpg:image/jpeg:350718;3.jpg:image/jpeg:322176;4.jpg:image/jpeg:458585;5.jpg:image/jpeg:408090;6.jpg:image/jpeg:315730;;;;;;;;;;;;;;;1;0;0;1;1;0;0;;1;;;;;;;
ЖК «Park House»;0.jpg:image/jpeg:8444;г. Кишинев, Московский проспект, 9/5;2019.0;Ронсон-400;;;;терракота, натуральный камень;;1.jpg:image/jpeg:146423;2.jpg:image/jpeg:127902;3.jpg:image/jpeg:104906;4.jpg:image/jpeg:111853;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Административно-бытовой комплекс «Грибная радуга»;0.jpg:image/jpeg:30864;г. Курск, ул. Володарского, д. 70, оф. 4/1;2019.0;Ронсон-100;Ронсон-500;;;Rockpanel, декоративный камень White Hills;;1.jpg:image/jpeg:552164;2.jpg:image/jpeg:684830;3.jpg:image/jpeg:651436;4.jpg:image/jpeg:503586;5.jpg:image/jpeg:538332;6.jpg:image/jpeg:715923;7.jpg:image/jpeg:704641;8.jpg:image/jpeg:569808;;;;;;;;;;;;;1;0;0;0;1;1;0;;1;;;;;;;
Courtyard by Marriott Chisinau, г. Кишинев;0.jpg:image/jpeg:35739;Молдова, Кишинёв, 2025, ул. Арборилор, 21;2019.0;Ронсон-500;;;;клинкер;;1.jpg:image/jpeg:747292;2.jpg:image/jpeg:669287;3.jpg:image/jpeg:671174;4.jpg:image/jpeg:627881;;;;;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
Апарт-комплекс Hill 8;0.jpg:image/jpeg:60957;г. Москва, Проспект мира, вл.95;2021.0;Ронсон-400;;;;керамогранит (скрытое крепление), натуральный камень;;1.jpg:image/jpeg:440782;2.jpg:image/jpeg:396094;3.jpg:image/jpeg:450972;4.jpg:image/jpeg:380903;5.jpg:image/jpeg:357878;6.jpg:image/jpeg:384671;7.jpg:image/jpeg:367669;8.jpg:image/jpeg:409453;;;;;;;;;;;;;1;0;0;1;0;0;0;;1;;;;;;;
Ржевский мемориал советскому солдату (г. Ржев);0.jpg:image/jpeg:9933;Тверская область, Ржевский район, деревня Хорошево;2020.0;Ронсон-200;;;;кассеты из кортеновской стали;;19.jpg:image/jpeg:91292;20.jpg:image/jpeg:150983;21.jpg:image/jpeg:244862;22.jpg:image/jpeg:110960;25.jpg:image/jpeg:171238;26.jpg:image/jpeg:184221;28.jpg:image/jpeg:512851;29.jpg:image/jpeg:274937;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
"ЖК ""Утро""";0.jpg:image/jpeg:30170;г. Липецк, ул. Крайняя, д. 4;2020.0;Ронсон-500;;;;декоративный камень White Hills;;2.jpg:image/jpeg:184397;3.jpg:image/jpeg:134211;4.jpg:image/jpeg:144129;5.jpg:image/jpeg:186402;6.jpg:image/jpeg:145434;7.jpg:image/jpeg:134134;;;;;;;;;;;;;;;1;0;0;0;0;1;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:61644;г. Москва, ул. Астрадамская, вл. 9А;2021.0;Ронсон-100;Ронсон-500;;;фиброцементные плиты, декоративный камень White Hills;;1.jpg:image/jpeg:347337;2.jpg:image/jpeg:346238;3.jpg:image/jpeg:369321;4.jpg:image/jpeg:359573;5.jpg:image/jpeg:107954;7.jpg:image/jpeg:379867;8.jpg:image/jpeg:346199;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:60858;г. Москва, ул. Петра Романова, вл.18;2020.0;Ронсон-200;Ронсон-500;;;металлокассеты, декоративный камень White Hills;;1.jpg:image/jpeg:657191;2.jpg:image/jpeg:663122;3.jpg:image/jpeg:730384;4.jpg:image/jpeg:682832;5.jpg:image/jpeg:617298;6.jpg:image/jpeg:736197;7.jpg:image/jpeg:671516;8.jpg:image/jpeg:785072;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:63738;г. Москва, ул. Дмитровкое шоссе, д.55;2021.0;Ронсон-500;;;;декоративный камень White Hills;;1_1.jpg:image/jpeg:476582;2_2.jpg:image/jpeg:449891;3_3.jpg:image/jpeg:494717;4_4.jpg:image/jpeg:421977;5_5.jpg:image/jpeg:427252;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК LIFE Ботанический сад 2;0.jpg:image/jpeg:9593;г. Москва, проезд Серебрякова / ул. Сельскохозяйственная;2021.0;Ронсон-100;Ронсон-200;;;фиброцементные плиты, кассеты из алюмокомпозита;;1.jpg:image/jpeg:394819;2.jpg:image/jpeg:118604;3.jpg:image/jpeg:144746;4.jpg:image/jpeg:289846;5.jpg:image/jpeg:277154;6.jpg:image/jpeg:286241;7.jpg:image/jpeg:280909;8.jpg:image/jpeg:285156;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
МФЖК Данилов дом;0.jpg:image/jpeg:22657;г. Москва, ул. 2-я Рощинская, д.1;2020.0;Ронсон-400;;;;натуральный камень;;1.jpg:image/jpeg:200742;2.jpg:image/jpeg:262293;3.jpg:image/jpeg:340477;4.jpg:image/jpeg:198601;5.jpg:image/jpeg:133421;6.jpg:image/jpeg:390713;7.jpg:image/jpeg:361375;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
ЖК Фонвизинский;0.jpg:image/jpeg:62008;г. Москва, Огородный проезд, д. 20;2020.0;Ронсон-100;;;;фиброцементные плиты;;1.jpg:image/jpeg:392685;2.JPG:image/jpeg:359101;3.JPG:image/jpeg:353065;4.JPG:image/jpeg:334871;5.JPG:image/jpeg:260637;6.JPG:image/jpeg:351431;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;1;;;;;;;
Жилой дом по программе реновации;0.jpg:image/jpeg:63034;г. Москва, ул. Нарвская, вл.5;2021.0;Ронсон-500;Ронсон-600;;;декоративный камень WhiteHills, декоративные элементы из стеклофибробетона;;1.jpg:image/jpeg:395209;2.jpg:image/jpeg:454949;3.jpg:image/jpeg:414444;4.jpg:image/jpeg:342657;5.jpg:image/jpeg:410577;6.jpg:image/jpeg:407149;;;;;;;;;;;;;;;1;0;0;0;1;1;0;;1;;;;;;;
ЖК Аалто;0.jpg:image/jpeg:22717;г. Москва, Старый Петровско-Разумовский пр., д.2;2020.0;Ронсон-200;Ронсон-500;;;металлокассеты, натуральный клинкер;;1.jpg:image/jpeg:303949;2.jpg:image/jpeg:376254;3.jpg:image/jpeg:283842;4.jpg:image/jpeg:408974;5.jpg:image/jpeg:374407;6.jpg:image/jpeg:413334;;;;;;;;;;;;;;;1;0;0;0;1;0;0;;1;;;;;;;
